2024-07-18,498,3,5,0,1,0
2024-07-18,110,0,4,0,0,0
2024-07-18,224,3,11,0,1,1
2024-07-18,224,3,11,0,1,1
2024-07-18,172,0,9,0,0,0
2024-07-18,835,3,13,0,1,0
2024-07-18,213,0,0,1,0,0
2024-07-18,205,0,1,1,0,0
2024-07-18,967,5,8,0,1,0
2024-07-18,65,0,0,0,1,0
2024-07-18,624,0,2,0,1,0
2024-07-18,21,0,0,0,1,0
2024-07-18,233,0,10,1,0,0
2024-07-18,533,2,2,0,0,0
2024-07-17,233,6,18,0,0,0
2024-07-17,596,1,4,0,1,0
2024-07-17,730,1,11,1,0,1
2024-07-17,384,1,15,1,0,1
2024-07-17,611,2,7,0,1,0
2024-07-17,100,0,0,0,1,0
2024-07-17,116,2,8,0,1,2
2024-07-17,220,1,9,0,1,6
2024-07-17,999,5,7,0,1,1
2024-07-17,1425,4,4,0,0,0
2024-07-17,1509,7,19,0,1,1
2024-07-17,198,3,4,0,1,0
2024-07-17,154,1,1,1,0,0
2024-07-17,2019,1,8,0,0,0
2024-07-17,224,23,20,0,0,0
2024-07-17,1100,-51,16,0,1,1
2024-07-17,212,1,2,0,1,0
2024-07-17,1979,7,4,0,0,0
2024-07-17,2112,-13,0,1,0,0
2024-07-17,642,0,0,1,0,0
2024-07-17,1754,-19,13,1,0,0
2024-07-16,91,0,0,0,0,0
2024-07-16,58,0,2,0,1,0
2024-07-16,196,1,0,0,1,0
2024-07-16,220,2,13,0,1,0
2024-07-16,232,4,6,0,2,0
2024-07-16,2180,4,8,1,1,0
2024-07-16,218,4,11,0,1,0
2024-07-16,233,3,4,0,3,1
2024-07-16,460,19,14,0,1,0
2024-07-16,643,3,12,0,0,0
2024-07-16,91,1,1,0,1,0
2024-07-16,58,2,4,0,1,0
2024-07-16,3176,23,2,0,2,0
2024-07-16,947,4,10,1,1,1
2024-07-16,1062,0,7,1,0,0
2024-07-16,1125,6,11,0,1,0
2024-07-16,112,0,0,1,0,0
2024-07-16,1270,6,6,1,0,0
2024-07-16,58,3,2,1,0,0
2024-07-16,46,0,0,0,1,0
2024-07-16,492,2,12,1,0,0
2024-07-16,240,3,3,0,1,0
2024-07-16,228,7,12,0,1,0
2024-07-16,231,0,1,0,1,0
2024-07-16,53,2,1,1,0,0
2024-07-16,257,1,6,0,3,0
2024-07-16,52,0,0,0,1,0
2024-07-16,97,1,0,1,0,0
2024-07-16,204,2,3,1,0,1
2024-07-16,378,2,11,1,0,0
2024-07-16,24,3,5,0,1,1
2024-07-16,24,3,5,0,1,1
2024-07-16,8540,34,10,0,0,0
